#Li dpH pHasymp pHini pHend
0 0 5.92431886363288 5.92431886363288 5.92431886363288
3 0.492522261185871 6.247293441 5.9242036447427 6.41672590592857
10 0.553608626908209 6.475988937 5.95695410187971 6.51056272878791
15 0.624031380047856 6.55 6.05872673900615 6.68275811905401
30 0.771186041498597 6.734604964 5.91570096651304 6.68688700801164
60 1.43650143895633 6.90219434 5.91039131893046 7.34689275788678
90 0.997926211530743 6.806267041 5.91402288166903 6.91194909319977
