0 6.010382819 5.95617051 9.76376191958373e-07 0.104528945
5 5.994820111 5.95617051 1.01199854710249e-06 0.08949079
10 5.972152798 5.95617051 1.0662209262998e-06 0.047115543
15 5.959868626 5.95617051 1.09680993076588e-06 0.03412444
20 5.95617051 5.95617051 1.10618939350557e-06 0.033571858
25 5.96089341 5.96089341 1.09422489171835e-06 0.038348451
30 5.973591447 5.973591447 1.0626947939186e-06 0.043273446
35 5.988151222 5.988151222 1.02765840359919e-06 0.045732186
40 6.003973827 6.003973827 9.90891659733792e-07 0.047441862
45 6.021570207 6.021570207 9.51546011042351e-07 0.047994702
50 6.039181666 6.039181666 9.13730946562927e-07 0.045227278
55 6.062719272 6.062719272 8.65527214876852e-07 0.042998558
60 6.090294893 6.090294893 8.12278778395422e-07 0.050154651
65 6.099455612 6.099455612 7.9532454923264e-07 0.041488989
70 6.117466884 6.117466884 7.63015070679775e-07 0.039713705
75 6.132026744 6.132026744 7.37858791137964e-07 0.038963962
80 6.144077283 6.144077283 7.17666570650767e-07 0.036582362
85 6.155049073 6.155049073 6.99762921992668e-07 0.035096667
90 6.163768337 6.163768337 6.85853979709048e-07 0.033175776
95 6.172082396 6.172082396 6.72848988706059e-07 0.032769861
100 6.179169187 6.179169187 6.61958575941103e-07 0.032566284
105 6.186005889 6.186005889 6.51619558089504e-07 0.0320484
110 6.192843604 6.192843604 6.41440527416747e-07 0.030989941
115 6.195981977 6.195981977 6.36821948146346e-07 0.031679414
120 6.201818742 6.201818742 6.28320541195136e-07 0.03177487
125 6.206361491 6.206361491 6.21782520460803e-07 0.032363839
130 6.213955986 6.213955986 6.11003944561584e-07 0.037746238
135 6.221035452 6.221035452 6.01124664924549e-07 0.039583073
140 6.224879518 6.224879518 5.95827415078688e-07 0.038812304
145 6.23021756 6.23021756 5.88548747756554e-07 0.034321667
150 6.235650298 6.235650298 5.81232248167292e-07 0.038187588
155 6.24085819 6.24085819 5.74303958831445e-07 0.037989134
160 6.246376315 6.246376315 5.67053042534779e-07 0.038565613
165 6.251262503 6.251262503 5.60708961188168e-07 0.033392967
170 6.256702018 6.256702018 5.53729909004582e-07 0.038989345
175 6.25942196 6.25942196 5.5027279220355e-07 0.038243569
180 6.24910234 6.25942196 5.63504852200138e-07 0.045025323
185 6.281767552 6.281767552 5.22675866629748e-07 0.036715802
190 6.289572881 6.289572881 5.13366019907155e-07 0.048888706
195 6.302468767 6.302468767 4.98346294072967e-07 0.036297618
200 6.266616994 6.302468767 5.41231426644126e-07 0.042345829
205 6.301779968 6.302468767 4.99137307534926e-07 0.052689847
210 6.304541695 6.304541695 4.95973308555119e-07 0.037215883
215 6.316408717 6.316408717 4.82604406512169e-07 0.038431384
