#t      6,247293441     0,189820789
0	5,916139913	0,008268507
5	5,921059487	0,007326269
10	5,920178035	0,005946205
15	5,922288115	0,004405881
20	5,925746802	0,005006531
25	5,929651374	0,007812126
30	5,933723045	0,009728635
35	5,939301609	0,010084872
40	5,945610053	0,012338303
45	5,957125691	0,01343649
50	5,964083235	0,012483776
55	5,974113623	0,015437679
60	5,983752484	0,016634987
65	5,992804722	0,018241454
70	6,003740022	0,018099385
75	6,013426283	0,017792608
80	6,021279819	0,020026771
85	6,030233144	0,020087098
90	6,03828519	0,021007543
95	6,047002479	0,019217453
100	6,053715122	0,021659078
105	6,062343078	0,020936106
110	6,069966423	0,021385819
115	6,075713826	0,020218651
120	6,0854172	0,020713397
125	6,091671358	0,019491396
130	6,098159027	0,019053309
135	6,103798289	0,019451829
140	6,109407574	0,018067351
145	6,113426994	0,018673707
150	6,118211025	0,018370293
155	6,12378178	0,017678294
160	6,127353602	0,01977186
165	6,130348206	0,018477347
170	6,135573047	0,018579601
175	6,141302447	0,017190102
180	6,143134247	0,017768149
185	6,149986174	0,014965632
190	6,152518044	0,01548708
195	6,155805267	0,014459667
200	6,159566273	0,014358049
205	6,160080417	0,013728264
210	6,163429421	0,013891287
215	6,167295937	0,017150342
220	6,171222028	0,015444884
225	6,169378722	0,017458754
230	6,172985589	0,017344609
235	6,175253251	0,018540746
240	6,176975447	0,017781932
245	6,182028508	0,018549761
250	6,186654592	0,020851734
255	6,190188154	0,018794422
260	6,153047263	0,019632535
265	6,198417712	0,026280248
270	6,196736907	0,025777064
275	6,198209391	0,027346314
280	6,201890871	0,027970512
285	6,200579384	0,027550186
290	6,203339496	0,027428771
295	6,20460398	0,025931518
300	6,204111738	0,027234268
